Age,Premium,Plan,PlanIndex,Gender
38,2348.8,AIA 自願醫保標準計劃,1,Male
39,2432,AIA 自願醫保標準計劃,1,Male
40,2534.4,AIA 自願醫保標準計劃,1,Male
41,2681.6,AIA 自願醫保標準計劃,1,Male
42,2899.2,AIA 自願醫保標準計劃,1,Male
43,3091.2,AIA 自願醫保標準計劃,1,Male
44,3289.6,AIA 自願醫保標準計劃,1,Male
45,3462.4,AIA 自願醫保標準計劃,1,Male
46,3571.2,AIA 自願醫保標準計劃,1,Male
47,3686.4,AIA 自願醫保標準計劃,1,Male
48,3801.6,AIA 自願醫保標準計劃,1,Male
49,3929.6,AIA 自願醫保標準計劃,1,Male
50,4115.2,AIA 自願醫保標準計劃,1,Male
51,4396.8,AIA 自願醫保標準計劃,1,Male
52,4665.6,AIA 自願醫保標準計劃,1,Male
53,4953.6,AIA 自願醫保標準計劃,1,Male
54,5254.4,AIA 自願醫保標準計劃,1,Male
55,5587.2,AIA 自願醫保標準計劃,1,Male
56,5849.6,AIA 自願醫保標準計劃,1,Male
57,6144,AIA 自願醫保標準計劃,1,Male
58,6451.2,AIA 自願醫保標準計劃,1,Male
59,6790.4,AIA 自願醫保標準計劃,1,Male
60,7251.2,AIA 自願醫保標準計劃,1,Male
61,7795.2,AIA 自願醫保標準計劃,1,Male
62,8262.4,AIA 自願醫保標準計劃,1,Male
63,8710.4,AIA 自願醫保標準計劃,1,Male
64,9100.8,AIA 自願醫保標準計劃,1,Male
65,9766.4,AIA 自願醫保標準計劃,1,Male
66,10131.2,AIA 自願醫保標準計劃,1,Male
67,10598.4,AIA 自願醫保標準計劃,1,Male
68,11110.4,AIA 自願醫保標準計劃,1,Male
69,11641.6,AIA 自願醫保標準計劃,1,Male
70,12185.6,AIA 自願醫保標準計劃,1,Male
71,12940.8,AIA 自願醫保標準計劃,1,Male
72,13766.4,AIA 自願醫保標準計劃,1,Male
73,14604.8,AIA 自願醫保標準計劃,1,Male
74,15488,AIA 自願醫保標準計劃,1,Male
75,16160,AIA 自願醫保標準計劃,1,Male
76,16851.2,AIA 自願醫保標準計劃,1,Male
77,17580.8,AIA 自願醫保標準計劃,1,Male
78,18361.6,AIA 自願醫保標準計劃,1,Male
79,19155.2,AIA 自願醫保標準計劃,1,Male
80,19968,AIA 自願醫保標準計劃,1,Male
81,20838.4,AIA 自願醫保標準計劃,1,Male
82,21715.2,AIA 自願醫保標準計劃,1,Male
83,22636.8,AIA 自願醫保標準計劃,1,Male
84,23603.2,AIA 自願醫保標準計劃,1,Male
85,24601.6,AIA 自願醫保標準計劃,1,Male
86,25011.2,AIA 自願醫保標準計劃,1,Male
87,25433.6,AIA 自願醫保標準計劃,1,Male
88,25836.8,AIA 自願醫保標準計劃,1,Male
89,26272,AIA 自願醫保標準計劃,1,Male
90,26700.8,AIA 自願醫保標準計劃,1,Male
91,27129.6,AIA 自願醫保標準計劃,1,Male
92,27545.6,AIA 自願醫保標準計劃,1,Male
93,27974.4,AIA 自願醫保標準計劃,1,Male
94,28422.4,AIA 自願醫保標準計劃,1,Male
95,28857.6,AIA 自願醫保標準計劃,1,Male
96,29305.6,AIA 自願醫保標準計劃,1,Male
97,29772.8,AIA 自願醫保標準計劃,1,Male
98,30246.4,AIA 自願醫保標準計劃,1,Male
99,30694.4,AIA 自願醫保標準計劃,1,Male
0,4584,安聯醫療保障,2,Male
1,3948,安聯醫療保障,2,Male
2,3396,安聯醫療保障,2,Male
3,2928,安聯醫療保障,2,Male
4,2532,安聯醫療保障,2,Male
5,2208,安聯醫療保障,2,Male
6,2124,安聯醫療保障,2,Male
7,1884,安聯醫療保障,2,Male
8,1704,安聯醫療保障,2,Male
9,1572,安聯醫療保障,2,Male
10,1464,安聯醫療保障,2,Male
11,1404,安聯醫療保障,2,Male
12,1368,安聯醫療保障,2,Male
13,1356,安聯醫療保障,2,Male
14,1368,安聯醫療保障,2,Male
15,1392,安聯醫療保障,2,Male
16,1440,安聯醫療保障,2,Male
17,1488,安聯醫療保障,2,Male
18,1548,安聯醫療保障,2,Male
19,1548,安聯醫療保障,2,Male
20,1560,安聯醫療保障,2,Male
21,1572,安聯醫療保障,2,Male
22,1572,安聯醫療保障,2,Male
23,1632,安聯醫療保障,2,Male
24,1692,安聯醫療保障,2,Male
25,1992,安聯醫療保障,2,Male
26,2052,安聯醫療保障,2,Male
27,2124,安聯醫療保障,2,Male
28,2184,安聯醫療保障,2,Male
29,2244,安聯醫療保障,2,Male
30,2292,安聯醫療保障,2,Male
31,2352,安聯醫療保障,2,Male
32,2412,安聯醫療保障,2,Male
33,2460,安聯醫療保障,2,Male
34,2472,安聯醫療保障,2,Male
35,2472,安聯醫療保障,2,Male
36,2484,安聯醫療保障,2,Male
37,2484,安聯醫療保障,2,Male
38,2484,安聯醫療保障,2,Male
39,2556,安聯醫療保障,2,Male
40,2628,安聯醫療保障,2,Male
41,2712,安聯醫療保障,2,Male
42,2796,安聯醫療保障,2,Male
43,2892,安聯醫療保障,2,Male
44,3000,安聯醫療保障,2,Male
45,3408,安聯醫療保障,2,Male
46,3552,安聯醫療保障,2,Male
47,3708,安聯醫療保障,2,Male
48,3900,安聯醫療保障,2,Male
49,4104,安聯醫療保障,2,Male
50,4344,安聯醫療保障,2,Male
51,4572,安聯醫療保障,2,Male
52,4824,安聯醫療保障,2,Male
53,5112,安聯醫療保障,2,Male
54,5412,安聯醫療保障,2,Male
55,5892,安聯醫療保障,2,Male
56,6240,安聯醫療保障,2,Male
57,6600,安聯醫療保障,2,Male
58,6996,安聯醫療保障,2,Male
59,7416,安聯醫療保障,2,Male
60,7440,安聯醫療保障,2,Male
61,7860,安聯醫療保障,2,Male
62,8292,安聯醫療保障,2,Male
63,8760,安聯醫療保障,2,Male
64,9240,安聯醫療保障,2,Male
65,10452,安聯醫療保障,2,Male
66,10968,安聯醫療保障,2,Male
67,11496,安聯醫療保障,2,Male
68,12012,安聯醫療保障,2,Male
69,12516,安聯醫療保障,2,Male
70,13008,安聯醫療保障,2,Male
71,13500,安聯醫療保障,2,Male
72,13980,安聯醫療保障,2,Male
73,14460,安聯醫療保障,2,Male
74,14916,安聯醫療保障,2,Male
75,15072,安聯醫療保障,2,Male
76,15708,安聯醫療保障,2,Male
77,16272,安聯醫療保障,2,Male
78,16764,安聯醫療保障,2,Male
79,17376,安聯醫療保障,2,Male
80,18432,安聯醫療保障,2,Male
81,19116,安聯醫療保障,2,Male
82,19788,安聯醫療保障,2,Male
83,20364,安聯醫療保障,2,Male
84,20880,安聯醫療保障,2,Male
85,21024,安聯醫療保障,2,Male
86,21180,安聯醫療保障,2,Male
87,21336,安聯醫療保障,2,Male
88,21492,安聯醫療保障,2,Male
89,21648,安聯醫療保障,2,Male
90,21804,安聯醫療保障,2,Male
91,22164,安聯醫療保障,2,Male
92,22488,安聯醫療保障,2,Male
93,22788,安聯醫療保障,2,Male
94,23052,安聯醫療保障,2,Male
95,23304,安聯醫療保障,2,Male
96,23496,安聯醫療保障,2,Male
97,23640,安聯醫療保障,2,Male
98,23760,安聯醫療保障,2,Male
99,23796,安聯醫療保障,2,Male
0,"3,180",延愛,3,Male
1,"3,180",延愛,3,Male
2,"3,180",延愛,3,Male
3,"3,180",延愛,3,Male
4,"3,180",延愛,3,Male
5,"3,180",延愛,3,Male
6,"1,789",延愛,3,Male
7,"1,789",延愛,3,Male
8,"1,789",延愛,3,Male
9,"1,789",延愛,3,Male
10,"1,789",延愛,3,Male
11,"1,652",延愛,3,Male
12,"1,652",延愛,3,Male
13,"1,652",延愛,3,Male
14,"1,652",延愛,3,Male
15,"1,652",延愛,3,Male
16,"1,652",延愛,3,Male
17,"1,652",延愛,3,Male
18,"1,652",延愛,3,Male
19,"1,710",延愛,3,Male
20,"1,710",延愛,3,Male
21,"1,710",延愛,3,Male
22,"1,710",延愛,3,Male
23,"1,710",延愛,3,Male
24,"1,710",延愛,3,Male
25,"2,153",延愛,3,Male
26,"2,153",延愛,3,Male
27,"2,153",延愛,3,Male
28,"2,153",延愛,3,Male
29,"2,153",延愛,3,Male
30,"2,153",延愛,3,Male
31,"2,318",延愛,3,Male
32,"2,318",延愛,3,Male
33,"2,318",延愛,3,Male
34,"2,318",延愛,3,Male
35,"2,895",延愛,3,Male
36,"2,895",延愛,3,Male
37,"2,895",延愛,3,Male
38,"2,895",延愛,3,Male
39,"2,895",延愛,3,Male
40,"2,895",延愛,3,Male
41,"3,137",延愛,3,Male
42,"3,137",延愛,3,Male
43,"3,137",延愛,3,Male
44,"3,137",延愛,3,Male
45,"4,179",延愛,3,Male
46,"4,179",延愛,3,Male
47,"4,179",延愛,3,Male
48,"4,179",延愛,3,Male
49,"4,179",延愛,3,Male
50,"4,500",延愛,3,Male
51,"4,500",延愛,3,Male
52,"4,500",延愛,3,Male
53,"4,500",延愛,3,Male
54,"4,500",延愛,3,Male
55,"6,451",延愛,3,Male
56,"6,451",延愛,3,Male
57,"6,451",延愛,3,Male
58,"6,948",延愛,3,Male
59,"6,948",延愛,3,Male
60,"8,099",延愛,3,Male
61,"8,099",延愛,3,Male
62,"8,099",延愛,3,Male
63,"8,099",延愛,3,Male
64,"8,099",延愛,3,Male
65,"11,825",延愛,3,Male
66,"11,825",延愛,3,Male
67,"11,825",延愛,3,Male
68,"11,825",延愛,3,Male
69,"11,825",延愛,3,Male
70,"14,375",延愛,3,Male
71,"14,375",延愛,3,Male
72,"14,375",延愛,3,Male
73,"14,375",延愛,3,Male
74,"14,375",延愛,3,Male
75,"16,682",延愛,3,Male
76,"16,682",延愛,3,Male
77,"16,682",延愛,3,Male
78,"16,682",延愛,3,Male
79,"16,682",延愛,3,Male
80,"20,252",延愛,3,Male
81,"20,252",延愛,3,Male
82,"20,252",延愛,3,Male
83,"20,252",延愛,3,Male
84,"20,252",延愛,3,Male
85,"19,783",延愛,3,Male
86,"19,783",延愛,3,Male
87,"19,783",延愛,3,Male
88,"19,783",延愛,3,Male
89,"19,783",延愛,3,Male
90,"21,424",延愛,3,Male
91,"21,424",延愛,3,Male
92,"21,424",延愛,3,Male
93,"21,424",延愛,3,Male
94,"21,424",延愛,3,Male
95,"22,509",延愛,3,Male
96,"22,509",延愛,3,Male
97,"22,509",延愛,3,Male
98,"22,509",延愛,3,Male
99,"22,509",延愛,3,Male
0,"2,720",Avo自願醫保（標準）計劃,4,Male
1,"2,418",Avo自願醫保（標準）計劃,4,Male
2,"2,365",Avo自願醫保（標準）計劃,4,Male
3,"2,315",Avo自願醫保（標準）計劃,4,Male
4,"2,267",Avo自願醫保（標準）計劃,4,Male
5,"2,243",Avo自願醫保（標準）計劃,4,Male
6,"1,329",Avo自願醫保（標準）計劃,4,Male
7,"1,299",Avo自願醫保（標準）計劃,4,Male
8,"1,268",Avo自願醫保（標準）計劃,4,Male
9,"1,256",Avo自願醫保（標準）計劃,4,Male
10,"1,228",Avo自願醫保（標準）計劃,4,Male
11,"1,228",Avo自願醫保（標準）計劃,4,Male
12,"1,228",Avo自願醫保（標準）計劃,4,Male
13,"1,228",Avo自願醫保（標準）計劃,4,Male
14,"1,228",Avo自願醫保（標準）計劃,4,Male
15,"1,228",Avo自願醫保（標準）計劃,4,Male
16,"1,228",Avo自願醫保（標準）計劃,4,Male
17,"1,228",Avo自願醫保（標準）計劃,4,Male
18,"1,268",Avo自願醫保（標準）計劃,4,Male
19,"1,268",Avo自願醫保（標準）計劃,4,Male
20,"1,268",Avo自願醫保（標準）計劃,4,Male
21,"1,268",Avo自願醫保（標準）計劃,4,Male
22,"1,268",Avo自願醫保（標準）計劃,4,Male
23,"1,268",Avo自願醫保（標準）計劃,4,Male
24,"1,268",Avo自願醫保（標準）計劃,4,Male
25,"1,522",Avo自願醫保（標準）計劃,4,Male
26,"1,538",Avo自願醫保（標準）計劃,4,Male
27,"1,570",Avo自願醫保（標準）計劃,4,Male
28,"1,586",Avo自願醫保（標準）計劃,4,Male
29,"1,603",Avo自願醫保（標準）計劃,4,Male
30,"1,620",Avo自願醫保（標準）計劃,4,Male
31,"1,674",Avo自願醫保（標準）計劃,4,Male
32,"1,713",Avo自願醫保（標準）計劃,4,Male
33,"1,773",Avo自願醫保（標準）計劃,4,Male
34,"1,838",Avo自願醫保（標準）計劃,4,Male
35,"1,940",Avo自願醫保（標準）計劃,4,Male
36,"2,002",Avo自願醫保（標準）計劃,4,Male
37,"2,046",Avo自願醫保（標準）計劃,4,Male
38,"2,091",Avo自願醫保（標準）計劃,4,Male
39,"2,139",Avo自願醫保（標準）計劃,4,Male
40,"2,267",Avo自願醫保（標準）計劃,4,Male
41,"2,353",Avo自願醫保（標準）計劃,4,Male
42,"2,444",Avo自願醫保（標準）計劃,4,Male
43,"2,543",Avo自願醫保（標準）計劃,4,Male
44,"2,689",Avo自願醫保（標準）計劃,4,Male
45,"2,985",Avo自願醫保（標準）計劃,4,Male
46,"3,047",Avo自願醫保（標準）計劃,4,Male
47,"3,145",Avo自願醫保（標準）計劃,4,Male
48,"3,250",Avo自願醫保（標準）計劃,4,Male
49,"3,401",Avo自願醫保（標準）計劃,4,Male
50,"3,524",Avo自願醫保（標準）計劃,4,Male
51,"3,656",Avo自願醫保（標準）計劃,4,Male
52,"3,799",Avo自願醫保（標準）計劃,4,Male
53,"3,953",Avo自願醫保（標準）計劃,4,Male
54,"4,179",Avo自願醫保（標準）計劃,4,Male
55,"4,608",Avo自願醫保（標準）計劃,4,Male
56,"4,704",Avo自願醫保（標準）計劃,4,Male
57,"4,963",Avo自願醫保（標準）計劃,4,Male
58,"5,191",Avo自願醫保（標準）計劃,4,Male
59,"5,376",Avo自願醫保（標準）計劃,4,Male
60,"5,785",Avo自願醫保（標準）計劃,4,Male
61,"6,162",Avo自願醫保（標準）計劃,4,Male
62,"6,592",Avo自願醫保（標準）計劃,4,Male
63,"6,999",Avo自願醫保（標準）計劃,4,Male
64,"7,559",Avo自願醫保（標準）計劃,4,Male
65,"8,937",Avo自願醫保（標準）計劃,4,Male
66,"9,729",Avo自願醫保（標準）計劃,4,Male
67,"9,854",Avo自願醫保（標準）計劃,4,Male
68,"9,982",Avo自願醫保（標準）計劃,4,Male
69,"10,113",Avo自願醫保（標準）計劃,4,Male
70,"12,978",Avo自願醫保（標準）計劃,4,Male
71,"13,161",Avo自願醫保（標準）計劃,4,Male
72,"13,349",Avo自願醫保（標準）計劃,4,Male
73,"13,542",Avo自願醫保（標準）計劃,4,Male
74,"13,741",Avo自願醫保（標準）計劃,4,Male
75,"16,184",Avo自願醫保（標準）計劃,4,Male
76,"16,429",Avo自願醫保（標準）計劃,4,Male
77,"16,682",Avo自願醫保（標準）計劃,4,Male
78,"16,942",Avo自願醫保（標準）計劃,4,Male
79,"17,211",Avo自願醫保（標準）計劃,4,Male
80,"19,648",Avo自願醫保（標準）計劃,4,Male
81,"19,945",Avo自願醫保（標準）計劃,4,Male
82,"20,252",Avo自願醫保（標準）計劃,4,Male
83,"20,569",Avo自願醫保（標準）計劃,4,Male
84,"20,895",Avo自願醫保（標準）計劃,4,Male
85,"20,669",Avo自願醫保（標準）計劃,4,Male
86,"20,982",Avo自願醫保（標準）計劃,4,Male
87,"21,305",Avo自願醫保（標準）計劃,4,Male
88,"21,638",Avo自願醫保（標準）計劃,4,Male
89,"21,981",Avo自願醫保（標準）計劃,4,Male
90,"22,384",Avo自願醫保（標準）計劃,4,Male
91,"22,723",Avo自願醫保（標準）計劃,4,Male
92,"23,072",Avo自願醫保（標準）計劃,4,Male
93,"23,433",Avo自願醫保（標準）計劃,4,Male
94,"23,805",Avo自願醫保（標準）計劃,4,Male
95,"25,010",Avo自願醫保（標準）計劃,4,Male
96,"25,413",Avo自願醫保（標準）計劃,4,Male
97,"25,830",Avo自願醫保（標準）計劃,4,Male
98,"26,260",Avo自願醫保（標準）計劃,4,Male
99,"26,705",Avo自願醫保（標準）計劃,4,Male
0,"2,832","AXA安盛守慧醫療保障",5,Male
1,"2,832","AXA安盛守慧醫療保障",5,Male
2,"2,832","AXA安盛守慧醫療保障",5,Male
3,"2,832","AXA安盛守慧醫療保障",5,Male
4,"2,832","AXA安盛守慧醫療保障",5,Male
5,"1,591","AXA安盛守慧醫療保障",5,Male
6,"1,591","AXA安盛守慧醫療保障",5,Male
7,"1,591","AXA安盛守慧醫療保障",5,Male
8,"1,591","AXA安盛守慧醫療保障",5,Male
9,"1,591","AXA安盛守慧醫療保障",5,Male
10,"1,379","AXA安盛守慧醫療保障",5,Male
11,"1,400","AXA安盛守慧醫療保障",5,Male
12,"1,420","AXA安盛守慧醫療保障",5,Male
13,"1,441","AXA安盛守慧醫療保障",5,Male
14,"1,462","AXA安盛守慧醫療保障",5,Male
15,"1,482","AXA安盛守慧醫療保障",5,Male
16,"1,503","AXA安盛守慧醫療保障",5,Male
17,"1,524","AXA安盛守慧醫療保障",5,Male
18,"1,544","AXA安盛守慧醫療保障",5,Male
19,"1,565","AXA安盛守慧醫療保障",5,Male
20,"1,585","AXA安盛守慧醫療保障",5,Male
21,"1,606","AXA安盛守慧醫療保障",5,Male
22,"1,627","AXA安盛守慧醫療保障",5,Male
23,"1,647","AXA安盛守慧醫療保障",5,Male
24,"1,668","AXA安盛守慧醫療保障",5,Male
25,"1,689","AXA安盛守慧醫療保障",5,Male
26,"1,757","AXA安盛守慧醫療保障",5,Male
27,"1,816","AXA安盛守慧醫療保障",5,Male
28,"1,888","AXA安盛守慧醫療保障",5,Male
29,"1,944","AXA安盛守慧醫療保障",5,Male
30,"1,996","AXA安盛守慧醫療保障",5,Male
31,"2,044","AXA安盛守慧醫療保障",5,Male
32,"2,097","AXA安盛守慧醫療保障",5,Male
33,"2,140","AXA安盛守慧醫療保障",5,Male
34,"2,199","AXA安盛守慧醫療保障",5,Male
35,"2,270","AXA安盛守慧醫療保障",5,Male
36,"2,352","AXA安盛守慧醫療保障",5,Male
37,"2,438","AXA安盛守慧醫療保障",5,Male
38,"2,576","AXA安盛守慧醫療保障",5,Male
39,"2,689","AXA安盛守慧醫療保障",5,Male
40,"2,852","AXA安盛守慧醫療保障",5,Male
41,"2,984","AXA安盛守慧醫療保障",5,Male
42,"3,113","AXA安盛守慧醫療保障",5,Male
43,"3,271","AXA安盛守慧醫療保障",5,Male
44,"3,427","AXA安盛守慧醫療保障",5,Male
45,"3,586","AXA安盛守慧醫療保障",5,Male
46,"3,681","AXA安盛守慧醫療保障",5,Male
47,"3,789","AXA安盛守慧醫療保障",5,Male
48,"3,931","AXA安盛守慧醫療保障",5,Male
49,"4,032","AXA安盛守慧醫療保障",5,Male
50,"4,279","AXA安盛守慧醫療保障",5,Male
51,"4,539","AXA安盛守慧醫療保障",5,Male
52,"4,795","AXA安盛守慧醫療保障",5,Male
53,"5,034","AXA安盛守慧醫療保障",5,Male
54,"5,287","AXA安盛守慧醫療保障",5,Male
55,"5,558","AXA安盛守慧醫療保障",5,Male
56,"5,849","AXA安盛守慧醫療保障",5,Male
57,"6,168","AXA安盛守慧醫療保障",5,Male
58,"6,612","AXA安盛守慧醫療保障",5,Male
59,"7,069","AXA安盛守慧醫療保障",5,Male
60,"7,511","AXA安盛守慧醫療保障",5,Male
61,"7,937","AXA安盛守慧醫療保障",5,Male
62,"8,348","AXA安盛守慧醫療保障",5,Male
63,"8,687","AXA安盛守慧醫療保障",5,Male
64,"9,026","AXA安盛守慧醫療保障",5,Male
65,"9,381","AXA安盛守慧醫療保障",5,Male
66,"9,751","AXA安盛守慧醫療保障",5,Male
67,"10,137","AXA安盛守慧醫療保障",5,Male
68,"10,553","AXA安盛守慧醫療保障",5,Male
69,"11,199","AXA安盛守慧醫療保障",5,Male
70,"11,874","AXA安盛守慧醫療保障",5,Male
71,"12,594","AXA安盛守慧醫療保障",5,Male
72,"13,349","AXA安盛守慧醫療保障",5,Male
73,"13,980","AXA安盛守慧醫療保障",5,Male
74,"14,308","AXA安盛守慧醫療保障",5,Male
75,"14,578","AXA安盛守慧醫療保障",5,Male
76,"14,777","AXA安盛守慧醫療保障",5,Male
77,"14,911","AXA安盛守慧醫療保障",5,Male
78,"15,010","AXA安盛守慧醫療保障",5,Male
79,"15,124","AXA安盛守慧醫療保障",5,Male
80,"15,145","AXA安盛守慧醫療保障",5,Male
81,"15,165","AXA安盛守慧醫療保障",5,Male
82,"15,186","AXA安盛守慧醫療保障",5,Male
83,"15,248","AXA安盛守慧醫療保障",5,Male
84,"15,307","AXA安盛守慧醫療保障",5,Male
85,"15,367","AXA安盛守慧醫療保障",5,Male
86,"15,430","AXA安盛守慧醫療保障",5,Male
87,"15,490","AXA安盛守慧醫療保障",5,Male
88,"15,553","AXA安盛守慧醫療保障",5,Male
89,"15,631","AXA安盛守慧醫療保障",5,Male
90,"15,709","AXA安盛守慧醫療保障",5,Male
91,"15,789","AXA安盛守慧醫療保障",5,Male
92,"15,866","AXA安盛守慧醫療保障",5,Male
93,"15,944","AXA安盛守慧醫療保障",5,Male
94,"16,025","AXA安盛守慧醫療保障",5,Male
95,"16,104","AXA安盛守慧醫療保障",5,Male
96,"16,182","AXA安盛守慧醫療保障",5,Male
97,"16,264","AXA安盛守慧醫療保障",5,Male
98,"16,345","AXA安盛守慧醫療保障",5,Male
99,"16,427","AXA安盛守慧醫療保障",5,Male
0,"2,832","AXA安盛守慧醫療保障",6,Male
1,"2,832","AXA安盛守慧醫療保障",6,Male
2,"2,832","AXA安盛守慧醫療保障",6,Male
3,"2,832","AXA安盛守慧醫療保障",6,Male
4,"2,832","AXA安盛守慧醫療保障",6,Male
5,"1,591","AXA安盛守慧醫療保障",6,Male
6,"1,591","AXA安盛守慧醫療保障",6,Male
7,"1,591","AXA安盛守慧醫療保障",6,Male
8,"1,591","AXA安盛守慧醫療保障",6,Male
9,"1,591","AXA安盛守慧醫療保障",6,Male
10,"1,379","AXA安盛守慧醫療保障",6,Male
11,"1,400","AXA安盛守慧醫療保障",6,Male
12,"1,420","AXA安盛守慧醫療保障",6,Male
13,"1,441","AXA安盛守慧醫療保障",6,Male
14,"1,462","AXA安盛守慧醫療保障",6,Male
15,"1,482","AXA安盛守慧醫療保障",6,Male
16,"1,503","AXA安盛守慧醫療保障",6,Male
17,"1,524","AXA安盛守慧醫療保障",6,Male
18,"1,544","AXA安盛守慧醫療保障",6,Male
19,"1,565","AXA安盛守慧醫療保障",6,Male
20,"1,585","AXA安盛守慧醫療保障",6,Male
21,"1,606","AXA安盛守慧醫療保障",6,Male
22,"1,627","AXA安盛守慧醫療保障",6,Male
23,"1,647","AXA安盛守慧醫療保障",6,Male
24,"1,668","AXA安盛守慧醫療保障",6,Male
25,"1,689","AXA安盛守慧醫療保障",6,Male
26,"1,757","AXA安盛守慧醫療保障",6,Male
27,"1,816","AXA安盛守慧醫療保障",6,Male
28,"1,888","AXA安盛守慧醫療保障",6,Male
29,"1,944","AXA安盛守慧醫療保障",6,Male
30,"1,996","AXA安盛守慧醫療保障",6,Male
31,"2,044","AXA安盛守慧醫療保障",6,Male
32,"2,097","AXA安盛守慧醫療保障",6,Male
33,"2,140","AXA安盛守慧醫療保障",6,Male
34,"2,199","AXA安盛守慧醫療保障",6,Male
35,"2,270","AXA安盛守慧醫療保障",6,Male
36,"2,352","AXA安盛守慧醫療保障",6,Male
37,"2,438","AXA安盛守慧醫療保障",6,Male
38,"2,576","AXA安盛守慧醫療保障",6,Male
39,"2,689","AXA安盛守慧醫療保障",6,Male
40,"2,852","AXA安盛守慧醫療保障",6,Male
41,"2,984","AXA安盛守慧醫療保障",6,Male
42,"3,113","AXA安盛守慧醫療保障",6,Male
43,"3,271","AXA安盛守慧醫療保障",6,Male
44,"3,427","AXA安盛守慧醫療保障",6,Male
45,"3,586","AXA安盛守慧醫療保障",6,Male
46,"3,681","AXA安盛守慧醫療保障",6,Male
47,"3,789","AXA安盛守慧醫療保障",6,Male
48,"3,931","AXA安盛守慧醫療保障",6,Male
49,"4,032","AXA安盛守慧醫療保障",6,Male
50,"4,279","AXA安盛守慧醫療保障",6,Male
51,"4,539","AXA安盛守慧醫療保障",6,Male
52,"4,795","AXA安盛守慧醫療保障",6,Male
53,"5,034","AXA安盛守慧醫療保障",6,Male
54,"5,287","AXA安盛守慧醫療保障",6,Male
55,"5,558","AXA安盛守慧醫療保障",6,Male
56,"5,849","AXA安盛守慧醫療保障",6,Male
57,"6,168","AXA安盛守慧醫療保障",6,Male
58,"6,612","AXA安盛守慧醫療保障",6,Male
59,"7,069","AXA安盛守慧醫療保障",6,Male
60,"7,511","AXA安盛守慧醫療保障",6,Male
61,"7,937","AXA安盛守慧醫療保障",6,Male
62,"8,348","AXA安盛守慧醫療保障",6,Male
63,"8,687","AXA安盛守慧醫療保障",6,Male
64,"9,026","AXA安盛守慧醫療保障",6,Male
65,"9,381","AXA安盛守慧醫療保障",6,Male
66,"9,751","AXA安盛守慧醫療保障",6,Male
67,"10,137","AXA安盛守慧醫療保障",6,Male
68,"10,553","AXA安盛守慧醫療保障",6,Male
69,"11,199","AXA安盛守慧醫療保障",6,Male
70,"11,874","AXA安盛守慧醫療保障",6,Male
71,"12,594","AXA安盛守慧醫療保障",6,Male
72,"13,349","AXA安盛守慧醫療保障",6,Male
73,"13,980","AXA安盛守慧醫療保障",6,Male
74,"14,308","AXA安盛守慧醫療保障",6,Male
75,"14,578","AXA安盛守慧醫療保障",6,Male
76,"14,777","AXA安盛守慧醫療保障",6,Male
77,"14,911","AXA安盛守慧醫療保障",6,Male
78,"15,010","AXA安盛守慧醫療保障",6,Male
79,"15,124","AXA安盛守慧醫療保障",6,Male
80,"15,145","AXA安盛守慧醫療保障",6,Male
81,"15,165","AXA安盛守慧醫療保障",6,Male
82,"15,186","AXA安盛守慧醫療保障",6,Male
83,"15,248","AXA安盛守慧醫療保障",6,Male
84,"15,307","AXA安盛守慧醫療保障",6,Male
